package,owner,shallow,deep
Augmentor,Evizero,"[""Interpolations"", ""OffsetArrays"", ""IdentityRanges"", ""MappedArrays"", ""ImageFiltering"", ""MLDataPattern"", ""CoordinateTransformations"", ""FileIO"", ""ImageCore"", ""ComputationalResources"", ""StaticArrays"", ""Rotations"", ""ImageTransformations""]","[""AxisAlgorithms"", ""IndirectArrays"", ""ColorVectorSpace"", ""Calculus"", ""LearnBase"", ""SpecialFunctions"", ""Requires"", ""AbstractFFTs"", ""FixedPointNumbers"", ""OpenSpecFun_jll"", ""Missings"", ""CatIndices"", ""ImageAxes"", ""MKL_jll"", ""FFTW_jll"", ""StatsBase"", ""RangeArrays"", ""Parsers"", ""Graphics"", ""NaNMath"", ""IntervalSets"", ""Tokenize"", ""VersionParsing"", ""Colors"", ""MacroTools"", ""CustomUnitRanges"", ""FFTW"", ""PaddedViews"", ""EllipsisNotation"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""MLLabelUtils"", ""DualNumbers"", ""ColorTypes"", ""SortingAlgorithms"", ""SimpleTraits"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""URIParser"", ""BinaryProvider"", ""IterTools"", ""TiledIteration"", ""ImageMetadata"", ""Ratios""]"
Authorization,JockLawrie,String[],String[]
AutoGrad,denizyuret,"[""SpecialFunctions"", ""TimerOutputs""]","[""Compat"", ""Crayons"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""URIParser""]"
AutoHashEquals,andrewcooke,Any[],Any[]
AutoMLPipeline,IBM,"[""CSV"", ""Conda"", ""IterTools"", ""MLDataUtils"", ""Impute"", ""PyCall"", ""StatsBase"", ""DecisionTree"", ""CodecBzip2"", ""DataFrames"", ""MLBase""]","[""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""LearnBase"", ""Requires"", ""PooledArrays"", ""ArrayLayouts"", ""InternedStrings"", ""Missings"", ""MLDataPattern"", ""BufferedStreams"", ""WinRPM"", ""StaticArrays"", ""Parsers"", ""Zlib_jll"", ""Tokenize"", ""NearestNeighbors"", ""TableOperations"", ""LibCURL"", ""VersionParsing"", ""Bzip2_jll"", ""MacroTools"", ""FilePathsBase"", ""NamedTuples"", ""FillArrays"", ""Libz"", ""HTTP"", ""OrderedCollections"", ""LazyArrays"", ""DataStructures"", ""Compat"", ""CategoricalArrays"", ""HTTPClient"", ""MLLabelUtils"", ""Expat_jll"", ""TranscodingStreams"", ""LibExpat"", ""CodecZlib"", ""MbedTLS"", ""MbedTLS_jll"", ""ScikitLearnBase"", ""SortingAlgorithms"", ""WeakRefStrings"", ""JSON"", ""Distances"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""URIParser"", ""DataStreams"", ""BinaryProvider"", ""IniFile"", ""MappedArrays"", ""DataValueInterfaces"", ""Tables""]"
AutoPreallocation,oxinabox,"[""Cassette""]",String[]
Autologistic,kramsretlow,"[""CSV"", ""LightGraphs"", ""Distributions"", ""BenchmarkTools"", ""Optim"", ""Compose""]","[""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""Calculus"", ""RecipesBase"", ""DataFrames"", ""SpecialFunctions"", ""Requires"", ""PooledArrays"", ""OpenSpecFun_jll"", ""ArrayLayouts"", ""InternedStrings"", ""FixedPointNumbers"", ""Missings"", ""Polynomials"", ""PDMats"", ""CommonSubexpressions"", ""StatsBase"", ""StaticArrays"", ""PositiveFactorizations"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""NaNMath"", ""Zlib_jll"", ""Rmath"", ""Tokenize"", ""DiffRules"", ""Colors"", ""MacroTools"", ""FilePathsBase"", ""NamedTuples"", ""FillArrays"", ""ForwardDiff"", ""Arpack"", ""OrderedCollections"", ""LazyArrays"", ""DataStructures"", ""Compat"", ""CategoricalArrays"", ""StatsFuns"", ""Measures"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""CodecZlib"", ""ColorTypes"", ""ArnoldiMethod"", ""ArrayInterface"", ""Inflate"", ""SimpleTraits"", ""SortingAlgorithms"", ""FiniteDiff"", ""WeakRefStrings"", ""JSON"", ""Rmath_jll"", ""NLSolversBase"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""URIParser"", ""DataStreams"", ""OpenBLAS_jll"", ""BinaryProvider"", ""LineSearches"", ""IterTools"", ""DiffResults"", ""DataValueInterfaces"", ""Tables"", ""Arpack_jll""]"
Automa,BioJulia,"[""DataStructures"", ""TranscodingStreams""]","[""OrderedCollections"", ""Compat""]"
AutomaticDocstrings,baggepinnen,"[""CSTParser""]","[""Tokenize""]"
AverageShiftedHistograms,joshday,"[""RecipesBase"", ""StatsBase"", ""UnicodePlots""]","[""DataStructures"", ""Crayons"", ""SortingAlgorithms"", ""DataAPI"", ""OrderedCollections"", ""Missings""]"
AxisAlgorithms,timholy,"[""Compat"", ""WoodburyMatrices""]",String[]
AxisArrays,JuliaArrays,"[""IterTools"", ""Compat"", ""IntervalSets"", ""RangeArrays""]","[""EllipsisNotation""]"
AxisIndices,Tokazama,"[""StaticRanges"", ""MappedArrays"", ""NamedDims"", ""ArrayInterface"", ""PrettyTables""]","[""ForwardDiff"", ""TableTraits"", ""OrderedCollections"", ""IteratorInterfaceExtensions"", ""CommonSubexpressions"", ""DataStructures"", ""Compat"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""CSTParser"", ""SpecialFunctions"", ""Parameters"", ""NNlib"", ""Requires"", ""Reexport"", ""Adapt"", ""URIParser"", ""NaNMath"", ""Tokenize"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""TimerOutputs"", ""DiffResults"", ""Formatting"", ""DataValueInterfaces"", ""Tracker"", ""Tables"", ""DiffRules"", ""Crayons"", ""MacroTools""]"
AxisKeys,mcabbott,"[""OffsetArrays"", ""IntervalSets"", ""Tables"", ""Compat"", ""LazyStack"", ""NamedDims"", ""InvertedIndices""]","[""ForwardDiff"", ""TableTraits"", ""EllipsisNotation"", ""OrderedCollections"", ""IteratorInterfaceExtensions"", ""CommonSubexpressions"", ""DataStructures"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""CSTParser"", ""SpecialFunctions"", ""NNlib"", ""Requires"", ""Adapt"", ""URIParser"", ""NaNMath"", ""Tokenize"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""TimerOutputs"", ""DiffResults"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tracker"", ""DiffRules"", ""Crayons"", ""MacroTools""]"
Azure,JuliaComputing,"[""HTTP"", ""JSON"", ""Swagger"", ""MbedTLS""]","[""Compat"", ""BinaryProvider"", ""MbedTLS_jll"", ""DataAPI"", ""WeakRefStrings"", ""Missings"", ""Parsers"", ""IniFile""]"
adwaita_icon_theme_jll,JuliaBinaryWrappers,"[""hicolor_icon_theme_jll""]",String[]
aiger_jll,JuliaBinaryWrappers,String[],String[]
alsa_jll,JuliaBinaryWrappers,String[],String[]
armadillo_jll,JuliaBinaryWrappers,"[""OpenBLAS_jll""]",String[]
at_spi2_atk_jll,JuliaBinaryWrappers,"[""XML2_jll"", ""Xorg_libX11_jll"", ""at_spi2_core_jll"", ""ATK_jll""]","[""Xorg_libXi_jll"", ""Libgpg_error_jll"", ""Xorg_xtrans_jll"", ""PCRE_jll"", ""Xorg_fixesproto_jll"", ""Libgcrypt_jll"", ""Xorg_xextproto_jll"", ""XSLT_jll"", ""Xorg_libXtst_jll"", ""Dbus_jll"", ""Xorg_libpthread_stubs_jll"", ""Expat_jll"", ""Xorg_kbproto_jll"", ""Xorg_libxcb_jll"", ""Zlib_jll"", ""Xorg_libXau_jll"", ""Xorg_inputproto_jll"", ""Xorg_libXfixes_jll"", ""Xorg_xproto_jll"", ""Glib_jll"", ""Xorg_xcb_proto_jll"", ""Gettext_jll"", ""Xorg_libXext_jll"", ""Xorg_util_macros_jll"", ""Xorg_recordproto_jll"", ""Libiconv_jll"", ""Libffi_jll"", ""Xorg_libXdmcp_jll""]"
at_spi2_core_jll,JuliaBinaryWrappers,"[""Xorg_libXtst_jll"", ""Glib_jll"", ""Dbus_jll""]","[""Xorg_fixesproto_jll"", ""Libgcrypt_jll"", ""Xorg_libpthread_stubs_jll"", ""Expat_jll"", ""Xorg_libxcb_jll"", ""Xorg_libXau_jll"", ""Xorg_inputproto_jll"", ""Xorg_libXfixes_jll"", ""Xorg_xproto_jll"", ""Gettext_jll"", ""Xorg_libXext_jll"", ""Xorg_util_macros_jll"", ""Libiconv_jll"", ""Libffi_jll"", ""Libgpg_error_jll"", ""PCRE_jll"", ""Xorg_xtrans_jll"", ""XML2_jll"", ""Xorg_libX11_jll"", ""Xorg_xextproto_jll"", ""XSLT_jll"", ""Xorg_kbproto_jll"", ""Zlib_jll"", ""Xorg_xcb_proto_jll"", ""Xorg_recordproto_jll"", ""Xorg_libXi_jll"", ""Xorg_libXdmcp_jll""]"
BARON,joehuchette,"[""Compat"", ""MathOptInterface"", ""MathProgBase""]","[""Libz"", ""HTTP"", ""OrderedCollections"", ""HTTPClient"", ""Expat_jll"", ""TranscodingStreams"", ""LibExpat"", ""Missings"", ""CodecZlib"", ""BufferedStreams"", ""MbedTLS"", ""MbedTLS_jll"", ""BenchmarkTools"", ""WinRPM"", ""WeakRefStrings"", ""JSON"", ""JSONSchema"", ""DataAPI"", ""BinDeps"", ""Parsers"", ""URIParser"", ""Zlib_jll"", ""BinaryProvider"", ""IniFile"", ""LibCURL"", ""Bzip2_jll"", ""CodecBzip2"", ""MutableArithmetics""]"
BAT,bat,"[""IntervalSets"", ""PDMats"", ""Distributions"", ""FunctionWrappers"", ""ValueShapes"", ""StructArrays"", ""Measurements"", ""DoubleFloats"", ""LaTeXStrings"", ""UnsafeArrays"", ""StatsBase"", ""DataStructures"", ""KernelDensity"", ""Tables"", ""Colors"", ""Clustering"", ""ElasticArrays"", ""ProgressMeter"", ""ParallelProcessingTools"", ""ArraysOfArrays"", ""TypedTables"", ""RecipesBase"", ""QuadGK"", ""StaticArrays"", ""PositiveFactorizations"", ""Cuba"", ""Parameters"", ""ArgCheck"", ""Requires"", ""FillArrays"", ""Random123""]","[""AxisAlgorithms"", ""TableTraits"", ""IteratorInterfaceExtensions"", ""Calculus"", ""GenericSchur"", ""VectorizationBase"", ""SpecialFunctions"", ""AbstractFFTs"", ""PooledArrays"", ""FixedPointNumbers"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""MKL_jll"", ""FFTW_jll"", ""CommonSubexpressions"", ""Parsers"", ""DiffEqDiffTools"", ""AccurateArithmetic"", ""NaNMath"", ""Indexing"", ""Rmath"", ""Interpolations"", ""Tokenize"", ""NearestNeighbors"", ""VersionParsing"", ""DiffRules"", ""MacroTools"", ""Quadmath"", ""FFTW"", ""ForwardDiff"", ""Arpack"", ""OffsetArrays"", ""EllipsisNotation"", ""OrderedCollections"", ""Compat"", ""StatsFuns"", ""CompilerSupportLibraries_jll"", ""Dictionaries"", ""EmpiricalDistributions"", ""Adapt"", ""RandomNumbers"", ""DualNumbers"", ""ColorTypes"", ""SIMDPirates"", ""ArrayInterface"", ""GenericSVD"", ""Optim"", ""SortingAlgorithms"", ""FiniteDiff"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""WoodburyMatrices"", ""JSON"", ""Distances"", ""Rmath_jll"", ""NLSolversBase"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""URIParser"", ""OpenBLAS_jll"", ""BinaryProvider"", ""CpuId"", ""GenericLinearAlgebra"", ""LineSearches"", ""DiffResults"", ""DataValueInterfaces"", ""SplitApplyCombine"", ""Arpack_jll"", ""Ratios""]"
BBI,BioJulia,"[""Libz"", ""BioCore""]","[""DataStructures"", ""Compat"", ""YAML"", ""BufferedStreams"", ""Automa"", ""OrderedCollections"", ""Codecs"", ""TranscodingStreams""]"
BDF,sam81,"[""HDF5"", ""Compat"", ""DocStringExtensions""]","[""Libz"", ""HTTP"", ""OrderedCollections"", ""DataStructures"", ""HTTPClient"", ""Expat_jll"", ""Blosc"", ""LibExpat"", ""Missings"", ""BufferedStreams"", ""MbedTLS"", ""MbedTLS_jll"", ""WinRPM"", ""WeakRefStrings"", ""HDF5_jll"", ""JSON"", ""DataAPI"", ""BinDeps"", ""Parsers"", ""Parameters"", ""CMakeWrapper"", ""URIParser"", ""Zlib_jll"", ""BinaryProvider"", ""IniFile"", ""CMake"", ""LibCURL"", ""Homebrew""]"
BEAST,krcools,"[""WiltonInts84"", ""FastGaussQuadrature"", ""SauterSchwabQuadrature"", ""IterativeSolvers"", ""Combinatorics"", ""Compat"", ""StaticArrays"", ""CollisionDetection"", ""SpecialFunctions"", ""CompScienceMeshes"", ""FFTW""]","[""FFTW_jll"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""JSON"", ""ClusterTrees"", ""RecipesBase"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""DataAPI"", ""Parsers"", ""Requires"", ""Reexport"", ""URIParser"", ""AbstractFFTs"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""Missings"", ""VersionParsing"", ""Polynomials"", ""MKL_jll""]"
BERT,OsmanMutlu,"[""Knet"", ""SpecialFunctions""]","[""ForwardDiff"", ""OrderedCollections"", ""CUDAapi"", ""DataStructures"", ""Compat"", ""CuArrays"", ""CEnum"", ""JLD2"", ""CompilerSupportLibraries_jll"", ""Requires"", ""TranscodingStreams"", ""Adapt"", ""AbstractFFTs"", ""TimerOutputs"", ""OpenSpecFun_jll"", ""Missings"", ""CodecZlib"", ""LLVM"", ""CUDAnative"", ""FileIO"", ""GPUArrays"", ""MKL_jll"", ""FFTW_jll"", ""CUDAdrv"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""CommonSubexpressions"", ""JSON"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Parsers"", ""NNlib"", ""Reexport"", ""NaNMath"", ""URIParser"", ""Zlib_jll"", ""Tokenize"", ""BinaryProvider"", ""AutoGrad"", ""DiffResults"", ""VersionParsing"", ""DiffRules"", ""Crayons"", ""MacroTools"", ""FillArrays"", ""FFTW""]"
BEncode,joshuamiller,Any[],Any[]
BFloat16s,JuliaComputing,String[],String[]
BGZFStreams,BioJulia,"[""CodecZlib""]","[""Compat"", ""Zlib_jll"", ""BinaryProvider"", ""TranscodingStreams""]"
BHAPtfem,BottomHoleAssemblyAnalysis,"[""FinEtools"", ""GR"", ""Interpolations"", ""OffsetArrays"", ""Compat"", ""PtFEM"", ""DataFrames"", ""CustomUnitRanges"", ""Reexport""]","[""AxisAlgorithms"", ""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""Calculus"", ""GeometryTypes"", ""libfdk_aac_jll"", ""RecipesBase"", ""SpecialFunctions"", ""Requires"", ""LibVPX_jll"", ""PooledArrays"", ""OpenSpecFun_jll"", ""FixedPointNumbers"", ""Opus_jll"", ""Missings"", ""Polynomials"", ""FFMPEG"", ""PlotThemes"", ""FFMPEG_jll"", ""StatsBase"", ""libass_jll"", ""DocStringExtensions"", ""Ogg_jll"", ""StaticArrays"", ""Parsers"", ""NaNMath"", ""Zlib_jll"", ""Tokenize"", ""x264_jll"", ""libvorbis_jll"", ""Bzip2_jll"", ""Colors"", ""MacroTools"", ""NamedTuples"", ""Arpack"", ""OrderedCollections"", ""FreeType2_jll"", ""DataStructures"", ""CategoricalArrays"", ""Measures"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""GraphRecipes"", ""Showoff"", ""FriBidi_jll"", ""DualNumbers"", ""CodecZlib"", ""ColorTypes"", ""ArnoldiMethod"", ""OpenSSL_jll"", ""Contour"", ""LAME_jll"", ""SortingAlgorithms"", ""Inflate"", ""SimpleTraits"", ""WeakRefStrings"", ""PlotUtils"", ""WoodburyMatrices"", ""JSON"", ""x265_jll"", ""Plots"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""URIParser"", ""Documenter"", ""DataStreams"", ""OpenBLAS_jll"", ""LightGraphs"", ""BinaryProvider"", ""IterTools"", ""NetworkLayout"", ""DataValueInterfaces"", ""Tables"", ""Arpack_jll"", ""AbstractTrees"", ""Ratios""]"
BHAtp,BottomHoleAssemblyAnalysis,"[""CSV"", ""Interpolations"", ""PGFPlotsX"", ""LaTeXStrings"", ""DataFramesMeta"", ""Compat"", ""PtFEM"", ""DataFrames"", ""Reexport""]","[""AxisAlgorithms"", ""TableTraits"", ""RecipesBase"", ""PooledArrays"", ""ArrayLayouts"", ""FixedPointNumbers"", ""InternedStrings"", ""Opus_jll"", ""Polynomials"", ""FFMPEG_jll"", ""StatsBase"", ""libass_jll"", ""Ogg_jll"", ""Parsers"", ""Zlib_jll"", ""x264_jll"", ""libvorbis_jll"", ""Colors"", ""MacroTools"", ""FilePathsBase"", ""NamedTuples"", ""CustomUnitRanges"", ""FillArrays"", ""Arpack"", ""OrderedCollections"", ""FreeType2_jll"", ""LazyArrays"", ""DataStructures"", ""GraphRecipes"", ""Showoff"", ""FriBidi_jll"", ""ColorTypes"", ""OpenSSL_jll"", ""Contour"", ""SortingAlgorithms"", ""Inflate"", ""PlotUtils"", ""WoodburyMatrices"", ""JSON"", ""x265_jll"", ""Plots"", ""CSTParser"", ""URIParser"", ""OpenBLAS_jll"", ""BinaryProvider"", ""DataValueInterfaces"", ""Arpack_jll"", ""AbstractTrees"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""GeometryTypes"", ""libfdk_aac_jll"", ""Calculus"", ""SpecialFunctions"", ""Requires"", ""LibVPX_jll"", ""OpenSpecFun_jll"", ""Missings"", ""FFMPEG"", ""PlotThemes"", ""DocStringExtensions"", ""StaticArrays"", ""Parameters"", ""NaNMath"", ""Tokenize"", ""Bzip2_jll"", ""OffsetArrays"", ""CategoricalArrays"", ""Measures"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""GR"", ""DualNumbers"", ""CodecZlib"", ""ArnoldiMethod"", ""LAME_jll"", ""SimpleTraits"", ""WeakRefStrings"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""Documenter"", ""DataStreams"", ""LightGraphs"", ""IterTools"", ""NetworkLayout"", ""Tables"", ""Crayons"", ""Ratios"", ""DefaultApplication"", ""ArgCheck""]"
BIDSTools,TRIImaging,"[""CSV"", ""JSON"", ""DataStructures"", ""DataFrames"", ""PrettyTables""]","[""TableTraits"", ""OrderedCollections"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""LazyArrays"", ""Compat"", ""CategoricalArrays"", ""Requires"", ""TranscodingStreams"", ""PooledArrays"", ""ArrayLayouts"", ""InternedStrings"", ""Missings"", ""Formatting"", ""CodecZlib"", ""SortingAlgorithms"", ""WeakRefStrings"", ""StatsBase"", ""StaticArrays"", ""DataAPI"", ""CSTParser"", ""Parsers"", ""Parameters"", ""Reexport"", ""DataStreams"", ""Zlib_jll"", ""Tokenize"", ""BinaryProvider"", ""DataValueInterfaces"", ""Tables"", ""Crayons"", ""MacroTools"", ""FilePathsBase"", ""NamedTuples"", ""FillArrays""]"
BIGUQ,madsjulia,"[""BlackBoxOptim"", ""AffineInvariantMCMC"", ""ForwardDiff"", ""Distributions"", ""DataFrames"", ""RobustPmap""]","[""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""RecipesBase"", ""SpecialFunctions"", ""Requires"", ""PooledArrays"", ""OpenSpecFun_jll"", ""Missings"", ""BufferedStreams"", ""Polynomials"", ""FileIO"", ""PDMats"", ""WinRPM"", ""CommonSubexpressions"", ""HDF5_jll"", ""StatsBase"", ""StaticArrays"", ""Parsers"", ""Parameters"", ""NaNMath"", ""Zlib_jll"", ""Rmath"", ""CMake"", ""SpatialIndexing"", ""LibCURL"", ""DiffRules"", ""NamedTuples"", ""FillArrays"", ""Libz"", ""Arpack"", ""HTTP"", ""LegacyStrings"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""CategoricalArrays"", ""HTTPClient"", ""StatsFuns"", ""JLD2"", ""CompilerSupportLibraries_jll"", ""Expat_jll"", ""TranscodingStreams"", ""Blosc"", ""LibExpat"", ""CodecZlib"", ""HDF5"", ""MbedTLS"", ""MbedTLS_jll"", ""SortingAlgorithms"", ""WeakRefStrings"", ""JSON"", ""Rmath_jll"", ""QuadGK"", ""CPUTime"", ""DataAPI"", ""BinDeps"", ""Reexport"", ""URIParser"", ""CMakeWrapper"", ""DataStreams"", ""OpenBLAS_jll"", ""JLD"", ""BinaryProvider"", ""DiffResults"", ""IniFile"", ""DataValueInterfaces"", ""Tables"", ""Arpack_jll"", ""Homebrew""]"
BKTrees,JuliaNeighbors,"[""DataStructures""]","[""OrderedCollections""]"
BSDiff,JuliaIO,"[""SuffixArrays"", ""CodecBzip2"", ""TranscodingStreams""]","[""Libz"", ""LibExpat"", ""BinaryProvider"", ""WinRPM"", ""HTTP"", ""IniFile"", ""LibCURL"", ""Bzip2_jll"", ""Compat"", ""BufferedStreams"", ""MbedTLS"", ""HTTPClient"", ""MbedTLS_jll"", ""BinDeps"", ""Expat_jll"", ""URIParser""]"
BSON,JuliaIO,String[],String[]
BSONMmap,AStupidBear,"[""BSON"", ""Requires""]",String[]
BSONqs,richiejp,String[],String[]
BSplines,sostock,"[""OffsetArrays"", ""RecipesBase""]",String[]
BTCParser,gdkrmr,"[""Ripemd"", ""Base58""]","[""Compat""]"
BackedUpImmutable,wherrera10,String[],String[]
Backtester,AStupidBear,"[""BSON"", ""PyCallUtils"", ""HDF5Utils"", ""Iconv"", ""PandasLite"", ""PyCall"", ""StatsBase"", ""DataStructures"", ""ProgressMeter"", ""MacroTools"", ""Glob"", ""StandardMarketData"", ""BSONMmap"", ""Parameters"", ""MLSuiteBase"", ""Reexport""]","[""TableTraits"", ""Widgets"", ""JuliaInterpreter"", ""CodeTools"", ""FixedPointNumbers"", ""CodeTracking"", ""BufferedStreams"", ""FileIO"", ""AssetRegistry"", ""Parsers"", ""MPI"", ""Zlib_jll"", ""CMake"", ""Colors"", ""FilePathsBase"", ""DataValues"", ""FillArrays"", ""Libz"", ""Juno"", ""OrderedCollections"", ""TreeViews"", ""TextWrap"", ""Nullables"", ""Compat"", ""HTTPClient"", ""Expat_jll"", ""ArgParse"", ""DocumentFormat"", ""Media"", ""ColorTypes"", ""MbedTLS_jll"", ""ScikitLearnBase"", ""SortingAlgorithms"", ""Traceur"", ""JSON"", ""CSTParser"", ""URIParser"", ""CMakeWrapper"", ""BinaryProvider"", ""DataValueInterfaces"", ""WebSockets"", ""AbstractTrees"", ""Homebrew"", ""Lazy"", ""IndirectArrays"", ""IteratorInterfaceExtensions"", ""LNR"", ""Pidfile"", ""Requires"", ""Missings"", ""FunctionalCollections"", ""Atom"", ""WinRPM"", ""HDF5_jll"", ""DocStringExtensions"", ""TableTraitsUtils"", ""Observables"", ""Tokenize"", ""LibCURL"", ""VersionParsing"", ""WebIO"", ""BlockArrays"", ""HTTP"", ""Blosc"", ""LibExpat"", ""FlameGraphs"", ""HDF5"", ""MbedTLS"", ""StringDistances"", ""Conda"", ""WeakRefStrings"", ""Hiccup"", ""DocSeeker"", ""Distances"", ""LeftChildRightSiblingTrees"", ""DataAPI"", ""BinDeps"", ""IterTools"", ""IniFile"", ""Cassette"", ""JuliaFormatter""]"
BackwardsLinalg,GiggleLiu,"[""Zygote"", ""Requires""]","[""ForwardDiff"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""AbstractFFTs"", ""IRTools"", ""OpenSpecFun_jll"", ""ArrayLayouts"", ""TimerOutputs"", ""Missings"", ""MKL_jll"", ""FFTW_jll"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""CommonSubexpressions"", ""JSON"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Parsers"", ""NNlib"", ""Reexport"", ""NaNMath"", ""URIParser"", ""Tokenize"", ""BinaryProvider"", ""DiffResults"", ""ZygoteRules"", ""VersionParsing"", ""DiffRules"", ""Crayons"", ""MacroTools"", ""FillArrays"", ""FFTW""]"
BandedMatrices,JuliaMatrices,"[""LazyArrays"", ""Compat"", ""MatrixFactorizations"", ""FillArrays"", ""ArrayLayouts""]","[""DataStructures"", ""Tokenize"", ""MacroTools"", ""StaticArrays"", ""OrderedCollections"", ""CSTParser""]"
BangBang,tkf,"[""ZygoteRules"", ""ConstructionBase"", ""Compat"", ""Tables"", ""InitialValues"", ""Setfield"", ""Requires""]","[""Tokenize"", ""TableTraits"", ""OrderedCollections"", ""IteratorInterfaceExtensions"", ""DataValueInterfaces"", ""DataStructures"", ""MacroTools"", ""DataAPI"", ""CSTParser""]"
BarycentricInterpolation,dawbarton,String[],String[]
Base58,gdkrmr,String[],String[]
Baselet,tkf,Any[],Any[]
BasicTextRender,ianshmean,"[""ImageCore"", ""ColorTypes"", ""ImageFiltering"", ""ImageTransformations""]","[""AxisAlgorithms"", ""IdentityRanges"", ""IndirectArrays"", ""ColorVectorSpace"", ""Calculus"", ""SpecialFunctions"", ""Requires"", ""AbstractFFTs"", ""FixedPointNumbers"", ""OpenSpecFun_jll"", ""Missings"", ""CatIndices"", ""ImageAxes"", ""MKL_jll"", ""FFTW_jll"", ""StatsBase"", ""StaticArrays"", ""RangeArrays"", ""Parsers"", ""Graphics"", ""NaNMath"", ""IntervalSets"", ""Interpolations"", ""Tokenize"", ""VersionParsing"", ""CoordinateTransformations"", ""Colors"", ""MacroTools"", ""CustomUnitRanges"", ""FFTW"", ""PaddedViews"", ""OffsetArrays"", ""EllipsisNotation"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""DualNumbers"", ""SortingAlgorithms"", ""SimpleTraits"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""URIParser"", ""BinaryProvider"", ""IterTools"", ""MappedArrays"", ""TiledIteration"", ""ImageMetadata"", ""ComputationalResources"", ""Ratios"", ""Rotations""]"
BasisFunctionExpansions,baggepinnen,"[""RecipesBase"", ""ColorTypes"", ""DSP"", ""Clustering""]","[""FFTW_jll"", ""SortingAlgorithms"", ""IntelOpenMP_jll"", ""Conda"", ""OrderedCollections"", ""WeakRefStrings"", ""JSON"", ""StatsBase"", ""DataStructures"", ""Compat"", ""Distances"", ""StaticArrays"", ""BinDeps"", ""DataAPI"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""Parsers"", ""Reexport"", ""URIParser"", ""AbstractFFTs"", ""BinaryProvider"", ""FixedPointNumbers"", ""NearestNeighbors"", ""OpenSpecFun_jll"", ""IterTools"", ""Missings"", ""VersionParsing"", ""Polynomials"", ""MKL_jll"", ""FFTW""]"
